Song ID,Token ID,Term Frequency,Inverse Document Frequency,TF-IDF
10,makin,1,2.70805020110221,2.70805020110221
11,began,1,2.70805020110221,2.70805020110221
11,held,3,2.70805020110221,8.12415060330663
1,alight,1,2.70805020110221,2.70805020110221
1,now,12,0.9162907318741551,10.995488782489861
4,now,8,0.9162907318741551,7.330325854993241
5,now,1,0.9162907318741551,0.9162907318741551
6,now,7,0.9162907318741551,6.414035123119086
10,now,4,0.9162907318741551,3.6651629274966204
14,now,1,0.9162907318741551,0.9162907318741551
1,i,1,0.0,0.0
2,i,1,0.0,0.0
3,i,12,0.0,0.0
4,i,23,0.0,0.0
5,i,15,0.0,0.0
6,i,23,0.0,0.0
7,i,7,0.0,0.0
8,i,16,0.0,0.0
9,i,7,0.0,0.0
10,i,5,0.0,0.0
11,i,47,0.0,0.0
12,i,12,0.0,0.0
13,i,9,0.0,0.0
14,i,18,0.0,0.0
15,i,10,0.0,0.0
3,after,1,1.3217558399823195,1.3217558399823195
5,after,1,1.3217558399823195,1.3217558399823195
7,after,1,1.3217558399823195,1.3217558399823195
12,after,6,1.3217558399823195,7.9305350398939165
3,felt,1,1.6094379124341003,1.6094379124341003
6,felt,1,1.6094379124341003,1.6094379124341003
12,felt,1,1.6094379124341003,1.6094379124341003
3,world,1,0.9162907318741551,0.9162907318741551
5,world,3,0.9162907318741551,2.7488721956224653
6,world,2,0.9162907318741551,1.8325814637483102
12,world,1,0.9162907318741551,0.9162907318741551
13,world,1,0.9162907318741551,0.9162907318741551
15,world,1,0.9162907318741551,0.9162907318741551
3,typical,1,2.70805020110221,2.70805020110221
4,embarrassing,1,2.70805020110221,2.70805020110221
6,got,3,0.9162907318741551,2.7488721956224653
7,got,7,0.9162907318741551,6.414035123119086
9,got,1,0.9162907318741551,0.9162907318741551
10,got,2,0.9162907318741551,1.8325814637483102
11,got,2,0.9162907318741551,1.8325814637483102
12,got,3,0.9162907318741551,2.7488721956224653
6,daddys,8,2.70805020110221,21.66440160881768
6,just,8,0.6286086594223741,5.028869275378993
7,just,2,0.6286086594223741,1.2572173188447482
8,just,5,0.6286086594223741,3.1430432971118707
9,just,2,0.6286086594223741,1.2572173188447482
11,just,1,0.6286086594223741,0.6286086594223741
12,just,4,0.6286086594223741,2.5144346376894964
14,just,4,0.6286086594223741,2.5144346376894964
15,just,4,0.6286086594223741,2.5144346376894964
6,hush,2,2.0149030205422647,4.029806041084529
7,hush,1,2.0149030205422647,2.0149030205422647
6,lady,2,2.0149030205422647,4.029806041084529
7,lady,2,2.0149030205422647,4.029806041084529
6,seeing,1,2.70805020110221,2.70805020110221
7,good,5,2.0149030205422647,10.074515102711324
15,good,3,2.0149030205422647,6.0447090616267936
7,sacrificial,1,2.70805020110221,2.70805020110221
7,shock,1,2.70805020110221,2.70805020110221
7,watching,1,2.70805020110221,2.70805020110221
7,ferry,1,2.70805020110221,2.70805020110221
7,boy,3,2.70805020110221,8.12415060330663
7,mouth,1,2.70805020110221,2.70805020110221
7,last,1,1.6094379124341003,1.6094379124341003
13,last,1,1.6094379124341003,1.6094379124341003
14,last,1,1.6094379124341003,1.6094379124341003
7,parkland,1,2.70805020110221,2.70805020110221
7,filled,1,2.70805020110221,2.70805020110221
7,killed,5,2.70805020110221,13.54025100551105
7,sacrifice,1,2.70805020110221,2.70805020110221
7,sworn,1,2.70805020110221,2.70805020110221
7,past,1,2.70805020110221,2.70805020110221
7,carl,1,2.70805020110221,2.70805020110221
